학년도,학기,소속,학과,과목번호,분반,과목명,강의계획서,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,승인과목,CU과목,홀짝구분,국제학생,Honors과목,공학인증,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2023 학년도,1학기,대학,화공생명공학과,CBE2007,02,응용생화학,조회,3.0,"화,목 10:30~11:45 [AS303]",3.0,나정걸,66,O,,,,"[2,4,6,8,0]",,,,,전학년,2학년,,,짝수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE2011,01,화공수학I,조회,3.0,"월,수 16:30~17:45 [AS303]",3.0,류재건,52,O,,,,"[1,3,5,7,9]",,,,,전학년,1-4학년,화공생명공학과(가능),화공생명공학전공 학생만 수강 가능,"홀수 학번만 수강,화공생명공학전공 학생만 수강 가능"
2023 학년도,1학기,대학,화공생명공학과,CBE2011,02,화공수학I,조회,3.0,"화,목 12:00~13:15 [K307]",3.0,최진훈,53,O,,,,"[2,4,6,8,0]",,,,,전학년,1-4학년,화공생명공학과(가능),화공생명공학전공 학생만 수강 가능,"짝수 학번만 수강,화공생명공학전공 학생만 수강 가능"
2023 학년도,1학기,대학,화공생명공학과,CBE3002,01,공정열역학,조회,3.0,"화,목 13:30~14:45 [K304]",3.0,임종성,87,,,,,,,,,,전학년,3학년,,선수과목 : CBE3001 화공열역학,
2023 학년도,1학기,대학,화공생명공학과,CBE3003,01,반응공학,조회,3.0,"화,목 12:00~13:15 [K202]",3.0,김충익,75,O,,,,"[1,3,5,7,9]",,,,,전학년,3학년,,선수과목 : CBE2002 창의설계,홀수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE3003,02,반응공학,조회,3.0,"월,수 10:30~11:45 [K304]",3.0,하경수,54,O,,,,"[2,4,6,8,0]",,,,,전학년,3학년,,선수과목 : CBE2002 창의설계,짝수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE3007,01,고분자공학,조회,3.0,"화,목 16:30~17:45 [AS510]",3.0,김정욱,49,O,,,,"[1,3,5,7,9]",,,,,전학년,3학년,,"선수과목 : CBE2002 창의설계, CBE2005 응용유기화학",홀수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE3007,02,고분자공학,조회,3.0,"월,수 16:30~17:45 [AS301]",3.0,김형준,66,O,,,,"[2,4,6,8,0]",,,,,전학년,3학년,,"선수과목 : CBE2002 창의설계, CBE2005 응용유기화학",짝수 학번만 수강
2023 학년도,1학기,대학,화공생명공학과,CBE3019,01,화공생명공학 세미나,조회,2.0,목 16:30~18:15 [R404],2.0,박제영,120,,,,,,,,,,전학년,3학년,,(구)화공산업과기술경영-기업가정신,"성적평가:S/U,화공산업과기술경영(CBEG005) 대체과목"
2023 학년도,1학기,대학,화공생명공학과,CBE3304,01,연구프로젝트Ⅳ,조회,3.0,월 18:00~20:45,3.0,강태욱,4,,,,,,,,,,전학년,3-4학년,,,
